condition,exp_dem,exp_rep,act_dem,act_rep,match,n
N,0.75,0.11419753086419752,0.7067901234567902,0.08333333333333333,0.6481481481481481,324
CA,0.768025078369906,0.09717868338557993,0.7460815047021944,0.08463949843260188,0.8150470219435737,319
C1L,0.9318181818181818,0.005681818181818182,0.7642045454545454,0.07954545454545454,0.7784090909090909,352
C1R,0.04747774480712166,0.887240356083086,0.56973293768546,0.2314540059347181,0.26409495548961426,337
C3L,0.8739495798319328,0.03361344537815126,0.8431372549019608,0.01680672268907563,0.8179271708683473,357
C3R,0.18911174785100288,0.7994269340974212,0.22636103151862463,0.670487106017192,0.5472779369627507,349
